Fri Aug 20 21:09:48 CST 2010
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:2 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     1         2.01057              449.9
           0        tcp     0     1         3.01491            464.926
           0        tcp     0     1         4.01733            465.816
           0        tcp     0     1         5.01812            462.485
           0        tcp     0     1         6.02412            460.087
           0        tcp     0     1         7.03114            455.555
           0        tcp     0     1         8.03173            466.666
           0        tcp     0     1          9.0387            467.781
           0        tcp     0     1         10.0443            468.394
           0        tcp     0     1         11.0504            464.139
           0        tcp     0     1         12.0522            470.175
           0        tcp     0     1         13.0603            463.215
           0        tcp     0     1         14.0662            460.101
           0        tcp     0     1         15.0685            441.368
           0        tcp     0     1         16.0738             423.73
           0        tcp     0     1         17.0757            462.006
           0        tcp     0     1         18.0808            468.614
           0        tcp     0     1         19.0888             467.33
           0        tcp     0     1         20.0928            465.068
           0        tcp     0     1         21.1033            462.075
           0        tcp     0     1         22.1089            460.309
           0        tcp     0     1         23.1165            455.259
           0        tcp     0     1         24.1247            455.054
           0        tcp     0     1         25.1318            451.425
           0        tcp     0     1         26.1366            472.869
           0        tcp     0     1         27.1375            466.521
           0        tcp     0     1         28.1395            470.108
           0        tcp     0     1         29.1403            462.496
           0        tcp     0     1         30.1416            466.337
           0        tcp     0     1         31.1476            472.293
           0        tcp     0     1         32.1478            458.674
           0        tcp     0     1         33.1482            462.642
           0        tcp     0     1         34.1552            463.717
           0        tcp     0     1         35.1601            464.664
           0        tcp     0     1         36.1661            460.085
           0        tcp     0     1         37.1716            464.364
           0        tcp     0     1         38.1752            461.193
           0        tcp     0     1         39.1827            463.488
           0        tcp     0     1         40.1865            469.232
           0        tcp     0     1         41.1892            461.598
           0        tcp     0     1         42.1939            468.857
           0        tcp     0     1         43.1973            465.334
           0        tcp     0     1         44.2052            467.376
           0        tcp     0     1         45.2073            457.763
           0        tcp     0     1         46.2092            466.058
           0        tcp     0     1         47.2168            467.521
           0        tcp     0     1         48.2193            461.704
           0        tcp     0     1         49.2248            468.422
           0        tcp     0     1         50.2296            464.724
           0        tcp     0     1         51.2308            470.493
           0        tcp     0     1          52.233            453.659
           0        tcp     0     1         53.2363             461.31
           0        tcp     0     1         54.2402            461.069
           0        tcp     0     1         55.2454            464.525
           0        tcp     0     1         56.2483            461.507
           0        tcp     0     1         57.2492            462.422
           0        tcp     0     1         58.2563            459.583
           0        tcp     0     1         59.2605            465.009
           0        tcp     0     1         60.2662            468.371
           0        tcp     0     1         61.2723            468.155
           0        tcp     0     1         62.2785            455.948
           0        tcp     0     1         63.2839            464.424
           0        tcp     0     1         64.2843            462.657
           0        tcp     0     1         65.2943             470.43
           0        tcp     0     1         66.2963            457.827
           0        tcp     0     1         67.3054            466.823
           0        tcp     0     1          68.309            457.091
           0        tcp     0     1         69.3112            453.685
           0        tcp     0     1         70.3132              461.9
           0        tcp     0     1         71.3143            458.267
           0        tcp     0     1         72.3152            458.347
           0        tcp     0     1         73.3159            462.481
           0        tcp     0     1         74.3196            448.942
           0        tcp     0     1          75.327            455.362
           0        tcp     0     1          76.332            440.167
           0        tcp     0     1         77.3377            452.093
           0        tcp     0     1         78.3408            469.564
           0        tcp     0     1         79.3471            455.865
           0        tcp     0     1         80.3476            466.723
           0        tcp     0     1         81.3514            465.199
           0        tcp     0     1         82.3561            460.673
           0        tcp     0     1         83.3581            465.991
           0        tcp     0     1         84.3661            459.179
           0        tcp     0     1         85.3721            460.082
           0        tcp     0     1         86.3758            465.247
           0        tcp     0     1         87.3817            464.177
           0        tcp     0     1         88.3869            468.621
           0        tcp     0     1         89.3897            457.481
           0        tcp     0     1         90.3913            466.186
           0        tcp     0     1          91.393            470.252
           0        tcp     0     1         92.3937            458.424
           0        tcp     0     1         93.3969            469.551
           0        tcp     0     1         94.3973            466.761
           0        tcp     0     1         95.4047            467.549
           0        tcp     0     1         96.4074            461.613
           0        tcp     0     1         97.4185             478.04
           0        tcp     0     1          98.419            462.596
           0        tcp     0     1         99.4266            463.439



--- Hop Node Number:3 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     2         2.02631            223.496
           0        tcp     0     2          3.0289            241.039
           0        tcp     0     2         4.03996            234.971
           0        tcp     0     2         5.04917            235.398
           0        tcp     0     2         6.05445            236.321
           0        tcp     0     2         7.06133            231.876
           0        tcp     0     2         8.08111            236.977
           0        tcp     0     2         9.08259            237.217
           0        tcp     0     2         10.0929            231.078
           0        tcp     0     2         11.0962            236.807
           0        tcp     0     2         12.1097            234.391
           0        tcp     0     2         13.1203            239.134
           0        tcp     0     2         14.1261            228.051
           0        tcp     0     2           15.16            225.818
           0        tcp     0     2         16.1703            235.137
           0        tcp     0     2         17.1837            230.387
           0        tcp     0     2         18.1851             237.24
           0        tcp     0     2         19.1932             227.53
           0        tcp     0     2         20.2135            236.863
           0        tcp     0     2         21.2154            233.017
           0        tcp     0     2         22.2217             232.02
           0        tcp     0     2         23.2288            235.897
           0        tcp     0     2         24.2412            234.658
           0        tcp     0     2         25.2607            233.013
           0        tcp     0     2          26.263            232.955
           0        tcp     0     2          27.278            238.079
           0        tcp     0     2          28.284            228.006
           0        tcp     0     2         29.2852             237.29
           0        tcp     0     2         30.2963             230.92
           0        tcp     0     2         31.3026            236.073
           0        tcp     0     2         32.3096            231.855
           0        tcp     0     2          33.317             231.74
           0        tcp     0     2          34.321            236.622
           0        tcp     0     2         35.3361            225.964
           0        tcp     0     2         36.3422            232.066
           0        tcp     0     2         37.3551            238.577
           0        tcp     0     2         38.3556            237.456
           0        tcp     0     2         39.3651            231.274
           0        tcp     0     2         40.3762            230.914
           0        tcp     0     2         41.3887             234.63
           0        tcp     0     2         42.4009             230.67
           0        tcp     0     2         43.4196             237.21
           0        tcp     0     2         44.4278            231.586
           0        tcp     0     2         45.4303            232.893
           0        tcp     0     2         46.4398            231.268
           0        tcp     0     2         47.4591            233.077
           0        tcp     0     2         48.4708              234.8
           0        tcp     0     2         49.4867            229.833
           0        tcp     0     2         50.4942            235.795
           0        tcp     0     2         51.5052            230.928
           0        tcp     0     2         52.5225            233.542
           0        tcp     0     2         53.5409            233.255
           0        tcp     0     2         54.5533            238.707
           0        tcp     0     2         55.5704            229.559
           0        tcp     0     2         56.5746            240.646
           0        tcp     0     2         57.5911            233.723
           0        tcp     0     2         58.6047            234.374
           0        tcp     0     2         59.6154            239.112
           0        tcp     0     2         60.6265            234.956
           0        tcp     0     2         61.6302            232.612
           0        tcp     0     2         62.6435            234.452
           0        tcp     0     2           63.66            233.694
           0        tcp     0     2         64.6695             231.28
           0        tcp     0     2         65.6735            228.462
           0        tcp     0     2         66.6744            233.258
           0        tcp     0     2         67.6812            227.835
           0        tcp     0     2          68.699            237.448
           0        tcp     0     2         69.7172            229.292
           0        tcp     0     2         70.7259            239.585
           0        tcp     0     2         71.7414            229.907
           0        tcp     0     2         72.7571            233.892
           0        tcp     0     2         73.7645            235.814
           0        tcp     0     2         74.7733            231.451
           0        tcp     0     2         75.7842            234.994
           0        tcp     0     2         76.7973            234.493
           0        tcp     0     2          77.801            232.621
           0        tcp     0     2         78.8017            233.309
           0        tcp     0     2           79.82            241.348
           0        tcp     0     2         80.8208             233.27
           0        tcp     0     2          81.827            236.102
           0        tcp     0     2          82.851            228.001
           0        tcp     0     2         83.8554            240.612
           0        tcp     0     2         84.8557            233.406
           0        tcp     0     2         85.8571            229.053
           0        tcp     0     2         86.8753            237.348
           0        tcp     0     2         87.8865            234.938
           0        tcp     0     2         88.8913            236.433
           0        tcp     0     2         89.8926            233.173
           0        tcp     0     2         90.9039            234.902
           0        tcp     0     2         91.9179            234.298
           0        tcp     0     2         92.9312             234.44
           0        tcp     0     2         93.9427            230.819
           0        tcp     0     2         94.9463            236.724
           0        tcp     0     2         95.9538            227.653
           0        tcp     0     2         96.9673            230.377
           0        tcp     0     2          97.979            230.753
           0        tcp     0     2         99.0013            236.409



--- Hop Node Number:4 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     3         2.00096            143.222
           0        tcp     0     3         3.00622            154.834
           0        tcp     0     3         4.02069            80.7519
           0        tcp     0     3         5.02953            129.923
           0        tcp     0     3         6.04183            105.202
           0        tcp     0     3         7.04493                147
           0        tcp     0     3          8.0572            145.669
